iter	RMSE
121	0.1661534717
122	0.1658147273
123	0.1654876591
124	0.1651548749
125	0.1648365199
126	0.1645365669
127	0.1640850936
128	0.1637881308
129	0.1635528473
130	0.1632455341
131	0.1629291112
132	0.1626550764
133	0.1623602685
134	0.1621541637
135	0.161798328
136	0.1615560892
137	0.1613143105
138	0.1610768936
139	0.1607750477
140	0.160513491
141	0.1602062062
142	0.1598941193
143	0.1596176183
144	0.1593088664
145	0.1590829614
146	0.1588794309
147	0.1586625098
148	0.1584226751
149	0.1581719406
150	0.1578605038
151	0.1576546667
152	0.157371482
153	0.1571612249
154	0.1569764036
155	0.1567343496
156	0.1563920717
157	0.1562635347
158	0.1560277132
159	0.1558297705
160	0.1555416844
161	0.1553635905
162	0.1551799042
163	0.1549428036
164	0.1547679744
165	0.154620557
166	0.1544687116
167	0.154269231
168	0.1539523328
169	0.1537289366
170	0.1535502327
171	0.153356615
172	0.15317364
173	0.152929757
174	0.1527473226
175	0.1526291958
176	0.1525165522
177	0.1523815953
178	0.152198003
179	0.1518739108
180	0.1517576477
181	0.151657123
182	0.1514364729
183	0.1512308788
184	0.1509950385
185	0.1507782632
186	0.1505987392
187	0.1504452463
188	0.1502462788
189	0.1501134311
190	0.1498657474
191	0.1496331406
192	0.1494010563
193	0.1491942599
194	0.1490657634
195	0.1489032774
196	0.148732964
197	0.1486089875
198	0.1484384283
199	0.1482908575
200	0.1481127966
201	0.1479329246
202	0.1477517454
203	0.1475075994
204	0.1473512783
205	0.1471714149
206	0.1469602277
207	0.1468472001
208	0.146613871
209	0.1464537011
210	0.1462135722
211	0.14606904
212	0.1459089597
213	0.1457807525
214	0.1456099747
215	0.1454652536
216	0.1453083645
217	0.1451694757
218	0.1450428488
219	0.1448945193
220	0.1447758509
221	0.1446106765
222	0.1444632055
223	0.1443493879
224	0.1442610961
225	0.1441445669
226	0.1440090327
227	0.1439030844
228	0.1437791203
229	0.1436629092
230	0.1435237334
231	0.1433703996
232	0.143252477
233	0.1431015407
234	0.1429611179
235	0.1428143727
236	0.1427131377
237	0.1426016183
238	0.1424750275
239	0.1424010193
240	0.1422858719
241	0.1421707485
242	0.142049253
243	0.1418924395
244	0.1417528788
245	0.1416131411
246	0.1414525769
247	0.1413859503
248	0.141306395
249	0.1412121071
250	0.141032175
251	0.1408691469
252	0.1407031356
253	0.1406042697
254	0.1405078081
255	0.1403499495
256	0.140249112
257	0.1400926488
258	0.1400176131
259	0.1398869796
260	0.1397056452
261	0.1395852284
262	0.1395051244
263	0.1393972751
264	0.1393039128
265	0.1391811633
266	0.1390970379
267	0.1390303452
268	0.1389525592
269	0.1388733403
270	0.1386952206
271	0.1386150819
272	0.1384639102
273	0.13828402
274	0.1381622326
275	0.138034092
276	0.1379161656
277	0.1378449062
278	0.1377148731
279	0.1376246425
280	0.1375060625
281	0.1373863821
282	0.1371570554
283	0.1370858318
284	0.1369628354
285	0.136832008
286	0.1367814613
287	0.1366134178
288	0.1364692257
289	0.1363320728
290	0.1362519581
291	0.1361552386
292	0.1360661223
293	0.1359891568
294	0.1358661934
295	0.1357887878
296	0.1356967786
297	0.1355612611
298	0.1355035362
299	0.1353258095
300	0.1352768865
301	0.1351249731
302	0.1350301867
303	0.1348898612
304	0.134819725
305	0.134765977
306	0.134660163
307	0.1344953102
308	0.134382198
309	0.1342220656
310	0.1341016083
311	0.1339659069
312	0.1338901464
313	0.1338012947
314	0.1337506225
315	0.1336565444
316	0.1335576975
317	0.1334361819
318	0.1333122649
319	0.1332179025
320	0.1330851997
321	0.1329891509
322	0.1329378027
323	0.1328723712
324	0.1327171195
325	0.132595007
326	0.1324597375
327	0.1324104113
328	0.1323034372
329	0.1322211158
330	0.132139782
331	0.1319812994
332	0.1318206678
333	0.1317319595
334	0.1315842133
335	0.131538608
336	0.13149526
337	0.1314241477
338	0.1312913985
339	0.1312044065
340	0.1310731481
341	0.1309127499
342	0.130776199
343	0.1306813597
344	0.130547372
345	0.1304716341
346	0.1303796222
347	0.1303393356
348	0.1302706038
349	0.1302021694
350	0.1300915718
351	0.130034318
352	0.1299660936
353	0.1298091621
354	0.1296954129
355	0.1296049586
356	0.1295300531
357	0.1293976047
358	0.1293458851
359	0.1291330462
360	0.1290575221
361	0.1289991628
362	0.1288529421
363	0.1287420101
364	0.1286256688
365	0.1285672825
366	0.1285159796
367	0.1284056792
368	0.1282684597
369	0.1281916918
370	0.1280829097
371	0.1279865124
372	0.127914945
373	0.1278256964
374	0.1276929352
375	0.1276177926
376	0.1275528346
377	0.127438291
378	0.1273710991
379	0.1272912256
380	0.1272066361
381	0.12708671
382	0.1270248196
383	0.1269373764
384	0.1268160894
385	0.1267142103
386	0.1266033489
387	0.1264484834
388	0.1263868996
389	0.1263081461
390	0.1262669951
391	0.1261790657
392	0.1261055329
393	0.1260273129
394	0.1259858297
395	0.1259474684
396	0.1258581757
397	0.1257694025
398	0.1256852952
399	0.1256312075
400	0.1255391808
401	0.1254254254
402	0.1253117504
403	0.1252110333
404	0.1250498564
405	0.1249688694
406	0.1249306274
407	0.1247926305
408	0.124713179
409	0.1246582186
410	0.1245338336
411	0.1244503502
412	0.124369056
413	0.1242970615
414	0.1241858603
415	0.1241103892
416	0.1240303829
417	0.1239198988
418	0.1238498583
419	0.1237640686
420	0.1237250082
421	0.1236789451
422	0.1236247337
423	0.1235400073
424	0.1234471126
425	0.1232909078
426	0.1231638888
427	0.1230938179
428	0.1229899945
429	0.1229074653
430	0.1228752077
431	0.1227895561
432	0.1227308789
433	0.1226514136
434	0.1225696454
435	0.122482748
436	0.1223800856
437	0.1222520057
438	0.1221908381
439	0.1221566188
440	0.1220717522
441	0.1220212722
442	0.1218689009
443	0.1217955051
444	0.121736697
445	0.1217108509
446	0.1216171379
447	0.1215499127
448	0.1214820552
449	0.1213975722
450	0.12129339
451	0.121212998
452	0.1211304334
453	0.1210527584
454	0.1209671567
455	0.120917324
456	0.1208594663
457	0.1207562754
458	0.1207133128
459	0.1206406127
460	0.1205611722
461	0.1204819884
462	0.1204094511
463	0.1202816119
464	0.1202018489
465	0.1201721549
466	0.1201146617
467	0.1200441413
468	0.1198843612
469	0.1197937256
470	0.1197140608
471	0.1196380429
472	0.1195712203
473	0.1194781687
474	0.1193823815
475	0.1193322656
476	0.1192457119
477	0.119177048
478	0.1190315075
479	0.1189580502
480	0.1188577147
481	0.1187893953
482	0.1187225581
483	0.1186547342
484	0.1185838909
485	0.1185260554
486	0.1184528175
487	0.1183472894
488	0.1182324225
489	0.1181685626
490	0.1180964745
491	0.1180014591
492	0.1179210928
493	0.1178224126
494	0.1177506695
495	0.1176932079
496	0.1176060099
497	0.1175416983
498	0.1174399031
499	0.1173284381
500	0.1172822556
501	0.1172206097
502	0.1171607728
503	0.117072115
504	0.116978199
505	0.1168805005
506	0.1167842415
507	0.116692305
508	0.1166240906
509	0.116524599
510	0.1164806693
511	0.116383086
512	0.1163351487
513	0.1162338306
514	0.1161379847
515	0.1160351068
516	0.1159766611
517	0.1159100466
518	0.1157963955
519	0.115719791
520	0.1156174843
521	0.1155001387
522	0.1154174643
523	0.1153801001
524	0.1153402376
525	0.1152606598
526	0.1152097443
527	0.1150954576
528	0.1150581721
529	0.1149893697
530	0.1149394892
531	0.1148819032
532	0.1148193939
533	0.1147387534
534	0.114679173
535	0.1145875413
536	0.1144889399
537	0.1143993574
538	0.1143097831
539	0.1142359074
540	0.1142011163
541	0.1141568438
542	0.1141001654
543	0.1140297278
544	0.1139764744
545	0.1138961813
546	0.1138353411
547	0.1137683751
548	0.1136962691
549	0.1136176493
550	0.1135590082
551	0.1134111531
552	0.1133381229
553	0.1132693964
554	0.1131806266
555	0.1130807653
556	0.1130217647
557	0.1129776467
558	0.1128707397
559	0.1127887294
560	0.1127361613
561	0.1126567658
562	0.1125875914
563	0.1125324849
564	0.11248196
565	0.1123458931
566	0.1123083949
567	0.1122285674
568	0.1121513428
569	0.1121208626
570	0.1120476729
571	0.1119759205
572	0.1118901482
573	0.1118509854
574	0.1117772216
575	0.1117190058
576	0.1116821993
577	0.1116296166
578	0.1115499938
579	0.1115198049
580	0.1114596328
581	0.1113637154
582	0.1112892885
583	0.1112410066
584	0.1111621795
585	0.111105648
586	0.1110585547
587	0.1109826625
588	0.1109286875
589	0.1108725295
590	0.1107720193
591	0.1107403224
592	0.1106798213
593	0.1106025274
594	0.1105321797
595	0.1104648944
596	0.1104324724
597	0.1103862919
598	0.1103354669
599	0.1103008176
600	0.1102530425
601	0.1102222511
602	0.1101584553
603	0.1101012257
604	0.1100416925
605	0.1099744214
606	0.1098844077
607	0.1098217069
608	0.1097604506
609	0.1096952583
610	0.1095964305
611	0.1095619309
612	0.1094868753
613	0.1094195297
614	0.1093612803
615	0.1093185501
616	0.1092547928
617	0.1092153141
618	0.1091511916
619	0.10909486
620	0.1090096705
621	0.1089432923
622	0.1088786833
623	0.1088245863
624	0.1087520312
625	0.1086975598
626	0.108616567
627	0.1085030555
628	0.1084104061
629	0.1083625237
630	0.108286692
631	0.1082422807
632	0.1081925585
633	0.1081511023
634	0.1081143482
635	0.1080600269
636	0.1079872223
637	0.1078998977
638	0.1078369804
639	0.10779443
640	0.1077472623
641	0.1076587205
642	0.1075948426
643	0.1075445948
644	0.1074929749
645	0.1074205589
646	0.1073633791
647	0.1073162486
648	0.1072650112
649	0.1071777568
650	0.1071141985
651	0.1071007521
652	0.1070630467
653	0.1070215268
654	0.1069908754
655	0.1069305612
656	0.1068689666
657	0.1067971221
658	0.1067166126
659	0.1066502261
660	0.1066053823
661	0.1065379439
662	0.1064775605
663	0.1064159419
664	0.1063773464
665	0.1062988636
666	0.1062490032
667	0.1062003936
668	0.1061579786
669	0.1061100355
670	0.1060849792
671	0.1060533622
672	0.1060011983
673	0.1059491096
674	0.1058930139
675	0.1058120863
676	0.1057542067
677	0.1056668987
678	0.1056355425
679	0.1055849876
680	0.1055544548
681	0.1054890623
682	0.1054361658
683	0.105391993
684	0.1053130132
685	0.1052424958
686	0.1051967996
687	0.1051717844
688	0.1051289955
689	0.1050867551
690	0.1050517914
691	0.1049696689
692	0.1049066348
693	0.1048817794
694	0.104842812
695	0.1047967268
696	0.104713527
697	0.1046552067
698	0.1046149705
699	0.1045482609
700	0.1044721168
701	0.1044164985
702	0.1043336887
703	0.1042636346
704	0.1042072572
705	0.1041444332
706	0.1041021714
707	0.1040223976
708	0.1039769088
709	0.1039236366
710	0.1038921299
711	0.1038347601
712	0.1037803823
713	0.10366006
714	0.1036114622
715	0.1035657042
716	0.1035180415
717	0.1034601475
718	0.1034039242
719	0.1033485272
720	0.1032863951
721	0.1032176216
722	0.1031340505
723	0.1030865909
724	0.1030093558
725	0.1029680578
726	0.1029245698
727	0.1029017243
728	0.1028474327
729	0.1027988044
730	0.1027545185
731	0.1026540091
732	0.1026125687
733	0.102541555
734	0.1024865139
735	0.102453999
736	0.1024306099
737	0.1023673083
738	0.1023197084
739	0.1022322575
740	0.1021771654
741	0.1021228767
742	0.1020686137
743	0.1020436263
744	0.1020103885
745	0.1019759982
746	0.1019334907
747	0.1018928034
748	0.1018554937
749	0.1017757628
750	0.1017547122
751	0.1016976165
752	0.1016503421
753	0.1015520286
754	0.1014835643
755	0.1014340593
756	0.1014034444
757	0.1013212757
758	0.1012747569
759	0.1012245482
760	0.101155097
761	0.1011082591
762	0.1010741978
763	0.1010003596
764	0.1009168901
765	0.1008374248
766	0.1007543374
767	0.1007053277
768	0.1006596011
769	0.1005942701
770	0.100542047
771	0.1004713884
772	0.1004322624
773	0.1003833724
774	0.1003297435
775	0.1002889045
776	0.1002241006
777	0.1001806387
778	0.100104917
779	0.1000302488
780	0.09995448054
781	0.09988249752
782	0.09985075101
783	0.09980707575
784	0.09973055399
785	0.0996921669
786	0.09965083178
787	0.09957533007
788	0.09950380235
789	0.099450941
790	0.09936741846
791	0.09930840071
792	0.09925048638
793	0.0992249817
794	0.099155882
795	0.09910403809
796	0.09903477841
797	0.09900686967
798	0.09895757739
799	0.09892687366
800	0.09885156982
801	0.0987888805
802	0.09872707012
803	0.09871298691
804	0.098651702
805	0.09861254756
806	0.09855642475
807	0.09851715692
808	0.09847817264
809	0.09844032519
810	0.09841884017
811	0.09838197922
812	0.09835119171
813	0.09831565144
814	0.09826273277
815	0.09821803881
816	0.09818482264
817	0.09814101841
818	0.09811561187
819	0.09805955179
820	0.09801591198
821	0.09797028691
822	0.09794044383
823	0.09788241241
824	0.09785174892
825	0.09777859696
826	0.09776160736
827	0.09774207603
828	0.09770758798
829	0.09766088391
830	0.0976484309
831	0.0976038828
832	0.09756676208
833	0.09753406721
834	0.09746176433
835	0.09743151071
836	0.09738897331
837	0.0973481197
838	0.09729774238
839	0.09724760854
840	0.09717215427
841	0.09712207046
842	0.09709805984
843	0.09708043468
844	0.09706223656
845	0.09701054753
846	0.09698307164
847	0.09694919717
848	0.09690528436
849	0.09684790426
850	0.09679362115
851	0.09675874483
852	0.09672812154
853	0.09667538688
854	0.09664110383
855	0.09657418466
856	0.09650665374
857	0.09639582865
858	0.09637568164
859	0.09633200748
860	0.09630473714
861	0.09625850635
862	0.09622885841
863	0.09618396875
864	0.09614607493
865	0.09608426308
866	0.09603137199
867	0.09597132426
868	0.09593862537
869	0.09591099138
870	0.09582365239
871	0.09578183618
872	0.09573637169
873	0.09570056909
874	0.09566809402
875	0.0956230293
876	0.0955059548
877	0.09544606384
878	0.0953833724
879	0.09535856985
880	0.09530828797
881	0.09527453321
882	0.09520415575
883	0.09516053413
884	0.09511935278
885	0.09506362669
886	0.09502691291
887	0.09499153995
888	0.0949703968
889	0.09491770821
890	0.09487459076
891	0.09474720714
892	0.09472762242
893	0.09469298941
894	0.09465979324
895	0.09456280324
896	0.09452754994
897	0.09446955342
898	0.09444256325
899	0.09439022443
900	0.09437160912
901	0.09433275781
902	0.0942838706
903	0.09422564372
904	0.09420279441
905	0.09417592609
906	0.09415230774
907	0.09409246628
908	0.09403463026
909	0.09399428544
910	0.0939441153
911	0.09390424105
912	0.0938656967
913	0.09380989431
914	0.09375625376
915	0.09371697654
916	0.09364066484
917	0.09358215848
918	0.09354210181
919	0.0934940033
920	0.09346517011
921	0.09342867659
922	0.09336329653
923	0.09330422019
924	0.09320655076
925	0.09317171164
926	0.09313397019
927	0.09309616719
928	0.09305048083
929	0.09302423313
930	0.09294382789
931	0.09292277223
932	0.09285493075
933	0.09279478234
934	0.09276011621
935	0.0927412434
936	0.09269839453
937	0.09264518731
938	0.09260162898
939	0.09256890985
940	0.09252646358
941	0.09248101253
942	0.0924075283
943	0.09237719403
944	0.09235218598
945	0.09233045957
946	0.09230759309
947	0.09228530085
948	0.09221288619
949	0.09216476677
950	0.09214055774
951	0.09212913082
952	0.09208313041
953	0.09204546509
954	0.09199891763
955	0.09196830562
956	0.09195147599
957	0.09188864547
958	0.09182619053
959	0.09178764785
960	0.09172493731
961	0.09170776187
962	0.09166345463
963	0.09156312626
964	0.09151429971
965	0.0914692342
966	0.09144040928
967	0.09139958689
968	0.09136019539
969	0.09133793005
970	0.09131612555
971	0.09129281863
972	0.09124836052
973	0.09121632038
974	0.0911735167
975	0.0910949646
976	0.09106512722
977	0.09102429992
978	0.0909753209
979	0.09092506366
980	0.09089283493
981	0.09085997056
982	0.09082057816
983	0.09077461741
984	0.09071134748
985	0.09066671112
986	0.09064705749
987	0.09057823003
988	0.09052180326
989	0.09042031524
990	0.09039826391
991	0.09037718236
992	0.09034641784
993	0.09029953708
994	0.09026487172
995	0.09019412443
996	0.09015711918
997	0.09012813162
998	0.09008765072
999	0.09002856103
